,pcomment
12,"['서초 아이비 동물병원 완전 좋다 마이 펫 플러스 통해 서초 아이비 동물병원 가게 돼다 처음 예약 하다 때 친절하다 기분 좋다 막상 착하다 생각 작고 허름 하다 느낌 놀라다 앞 분 설명 조금 예민하다 막상 우리 강아지 차례 되다 것 것 설명 꼼꼼하다 스케일링 외 아프다 곳도 자세하다 설명 해주다 진심 동물 사랑 하다 느껴지다 믿음 더욱 자다 가다 피 검사 설명 스케일링 끝나다 걸리다 같다 애기 노견 걱정 돼다 무사하다 수술 도마 치아 깨끗하다 서다 정말 감사하다 앞 치료 받다 야하다 때 또 뵙다 원장 이다 좋다 진료 받다 되어다 감사하다 길', '제이 오다 가다 저렴하다 가격 검진 받다 좋다 건강하다 하다 더 좋다 집 동물 친구 들이다 많다 한번 아프다 돈 깨다 고민 이다 이번 선택 하다 같다 원장 친절하다 담 또 뵈다 감사하다 가끔 슈 나다 같다 가끔 시츄 같다 어금니 아프다 겁쟁이 제이 심', '추가 금액 전혀 스케일링 하다 후기 등록 무엇 양심 수의사 만나다 뵙다 되어다 좋다 여태 안해 되다 것 의사 선생님 말씀 듣다 하다 보은 치아 보다', '정도 스케일링 안해 되다 이번 해주시 다음 조금 더 참다 좋다 말씀 해주시 간 김 등 뒤 난 뾰루지 없애다 하다 없애다 저 돈 벌다 좋다', '강아지 위 하다 하다 낫다 하다 감동 병원 처음 심', '최고 수의사 여기 만나다 되어다 행복하다 후기 등록 원래 스케일링 하다 하다 스케일링 전 넘다 넘다 꼼꼼하다 보다 온 얼 마안 돼다 동물병원 찾다 있다 서초동 살 면서 여기 무조건 오다 정말 추천 별 개입 니 예', '아가 스케일링 받다 오다 저희 아이 조금 낯가림 있다 예민하다 펴다 친절하다 자다 해주다 스트레스 덜 받다 자다 하다 오다 감사하다 아이비 자주 이용 하다 마이 펫 플러스 안녕하다 합리 동물병원 비용 기준 유기견 유기묘 예방 기초 만들다 마이 펫 플러스 이다 앞 마이 펫 플러스 응원 해주다 바라다 마이 펫 플러스 이용 하다 후 후기 글 작성 시 선물 증정 분 드림 이용 하다 업체 대한 후기 글 나 블로그 카페 커뮤니티 등 정보 공유 해주시', '해당 글 간단하다 평 마펫 이용 하다 업체 상품 평 후기 남기다 선물 보내다 드리다 저희 마이 펫 플러스 동물병원 비용 부담 제때 치료받다 못 방치 되다 유기 되다 동물 숫자 줄이다 보다 취지 운영 되다 있다 은 많다 동물병원 가격 공개 가격 인하 대해 거부 감 많다 병원 제휴 어려움 있다 나 지방 쪽 병원 협조 쉬다 않다 제휴 더디다 있다 마이 펫 플러스 더 노력 하다 수 있다 보호자 응원 힘 보태 시기 바라다', '마이 펫 플러스 이용 방법 상품 구매 후 상품 인증 번호 병원 전화번호 문자 확인', '전화 예약 필수 평일 최소 원 전', '주말 주전 만약 수술 불가 및 단순 변심 상품 구매 문의 환불 청주시 환불 가능하다 병원 상품 함 수술 비용 마이 펫 플러스 구매 하다 때 특별하다 사항 없다 추가 비용 이용 가능하다 금액 이다 수술 부위 다르다 검사 및 상담 후 수술 보류', '추가 처치 및 검사', '처방 일수 등 추가 사항 있다 경우 비용 별도 발생 하다 있다 보호자 동의 진행 되다 마이 펫 플러스 있다 가능하다 합리 저렴하다 동물병원 가격 비교 구매 병원 예약 후 이용 연륜 경험 풍부하다 원장 진료 가격 낮다 의료 퀄리티 높아지다 바가지 요금 걱정 투명하다 수술 프로세스 사전 확인 비교 수술 비 저렴하다 수술 대충 해주다 저가 재료 쓰다 않다 병원 결제 마이 펫 플러스 구매 해주다 때 마이 펫 플러스 사이트 유지 되다 수 있다 단', '스케일링 살 아이 스케일링 하다 개 발치 하다 스케일링 하다 나 깨끗하다 입냄새 사라지다 만족스럽다 집 가깝다 상품 혈액 검사 엑스레이 포함 되어다 있다 아이 상태 확인 하다 좋다 추천 드리다 박', '강추 강아지 입 냄새 심하다 별거 해봤다 양치 해주다 냄새 없어지다 않다 스케일링 해주다 왜 그동안 해주다 후회 되다 만큼 냄새 안나 만족하다 원장 솜씨 좋다 강아지 입냄새 고민 이면 스케일링 강추 이', '아주 만족하다 스케일링 강아지 입냄새 안나 너 무 좋다 시술 주의 사항 부분 친절하다 설명 해주다 만족하다 다음 이용 하다 생각 있다']"
13,['']
14,"['좋다 중성 화하다 스켈링도 간김 종합 검진 받다 치아 깨끗해지다 마취 금방 깨다 아프다 않다 좋다 마취 금방 깨다 소량 빠르다 시간 진행 해주다 아기 깨끗하다 만들다 감사하다 노', '하다 하다 나중 우리 아이 이 염증 있다 값 때문 추가 비용 나오다 좀 놀래다 그거 머 강쥐 아프다 요 살 스켈링 해보다 겁 먹다 하다 하다 같다 입냄새 안나 또 잇몸 염증 있다 알다 있다 요 선생님 친절하다 좋다 다른 강쥐 데리 가바 겠다 마이 펫 플러스 안녕하다 합리 동물병원 비용 기준 유기견 유기묘 예방 기초 만들다 마이 펫 플러스 이다 앞 마이 펫 플러스 응원 해주다 바라다 마이 펫 플러스 이용 하다 후 후기 글 작성 시 선물 증정 분 드림 이용 하다 업체 대한 후기 글 나 블로그 카페 커뮤니티 등 정보 공유 해주시 해당 글 대한 간단하다 평 마펫 이용 하다 업체 상품 평 후기 남기다 선물 보내다 드리다 저희 마이 펫 플러스 동물병원 비용 부담 제때 치료받다 못 방치 되다 유기 되다 동물 숫자 줄이다 보다 취지 운영 되다 있다 은 많다 동물병원 가격 공개 가격 인하 대해 거부 감 많다 병원 제휴 어려움 있다 나 지방 쪽 병원 협조 쉬다 않다 제휴 더디다 있다 마이 펫 플러스 더 노력 하다 있다 보호자 응원 힘 보태 시기 바라다 마이 펫 플러스 이용 방법 상품 구매 후 상품 인증 번호 병원 전화번호 문자 확인', '전화 예약 필수 평일 최소 원 전', '주말 주전 만약 수술 불가 및 단순 변심 상품 구매 문의 환불 청주시 환불 가능하다 병원 상품 함 수술 비용 마이 펫 플러스 구매 하다 때 특별하다 사항 없다 추가 비용 이용 가능하다 금액 이다 수술 부위 다르다 검사 및 상담 후 수술 보류', '추가 처치 및 검사', '처방 일수 등 추가 사항 있다 경우 비용 별도 발생 하다 있다 보호자 동의 진행 되다 마이 펫 플러스 있다 가능하다 합리 저렴하다 동물병원 가격 비교 구매 병원 예약 후 이용 연륜 경험 풍부하다 원장 진료 가격 낮다 의료 퀄리티 높아지다 바가지 요금 걱정 투명하다 수술 프로세스 사전 확인 비교 수술 비 저렴하다 수술 대충 해주다 저가 재료 쓰다 않다 병원 결제 마이 펫 플러스 구매 해주다 때 마이 펫 플러스 사이트 유지 되다 있다 우리 동물병원 서대문 자세하다 후기 감사 드리다 다음 방문 하다 때 더 더욱 좋다 서비스 맞이 하다 지다', '스케일링 깔끔하다 완료 원래 스케일링 의 필요성 자다 모르다 입냄새 문제 그렇다 치아 관리 좀 신경 써다 싶다 마펫 상품 구매 후다닥 예약 잡다 깔끔하다 입냄새 안나 원장 쌤 친절하다 만족하다 후기 남기다 담 스케일링 받다 갈다 때 자다 부탁드리다 우리 동물병원 서대문 자세하다 후기 감사 드리다 다음 또 들다']"
15,['프리미엄 스켈 링 하다 깨끗하다 안전하다 돼다 걱정 하다 원장 서도 차근차근 자다 설명 해주다 아이 상태 괜찮다 안심 돼다 전반 건강 상태 대략 보다 꼼꼼하다 자다 관리 해주다 감사하다']
16,"['유기묘 입양 하다 유기묘 보다 치아 손상 되어다 입냄새 나 여기저기 알아보다 발치 결정 하다 돼다 강아지 발치 많다 고양이 발치 하다 병원 찾기 힘들다 하다 하다 하다 하다 모르다 믿다 맡다 기기 애매하다 그렇다 병원 뿐 가격 비싸다 마이 펫 플러스 보다 프로세스 수술 과정 도 마음 들다 무엇 모든 역 제 카톡 받다 볼 수 있다 제일 마음 들다 결론 수술 돼다', '입냄새 안나', '만족 이다 앞 무지개다리 건너다 때 예쁘다 자다 키우다 마이 펫 플러스 안녕하다 합리 동물병원 비용 기준 유기견 유기묘 예방 기초 만들다 마이 펫 플러스 이다 앞 마이 펫 플러스 응원 해주다 바라다 마이 펫 플러스 이용 하다 후 후기 글 작성 시 선물 증정 분 드림 이용 하다 업체 대한 후기 글 나 블로그 카페 커뮤니티 등 정보 공유 해주시', '해당 글 간단하다 평 마펫 이용 하다 업체 상품 평 후기 남기다 선물 보내다 드리다 저희 마이 펫 플러스 동물병원 비용 부담 제때 치료받다 못 방치 되다 유기 되다 동물 숫자 줄이다 보다 취지 운영 되다 있다 은 많다 동물병원 가격 공개 가격 인하 대해 거부 감 많다 병원 제휴 어려움 있다 나 지방 쪽 병원 협조 쉬다 않다 제휴 더디다 있다 마이 펫 플러스 더 노력 하다 수 있다 보호자 응원 힘 보태 시기 바라다', '마이 펫 플러스 이용 방법 상품 구매 후 상품 인증 번호 병원 전화번호 문자 확인', '전화 예약 필수 평일 최소 원 전', '주말 주전 만약 수술 불가 및 단순 변심 상품 구매 문의 환불 청주시 환불 가능하다 병원 상품 함 수술 비용 마이 펫 플러스 구매 하다 때 특별하다 사항 없다 추가 비용 이용 가능하다 금액 이다 수술 부위 다르다 검사 및 상담 후 수술 보류', '추가 처치 및 검사', '처방 일수 등 추가 사항 있다 경우 비용 별도 발생 하다 있다 보호자 동의 진행 되다 마이 펫 플러스 있다 가능하다 합리 저렴하다 동물병원 가격 비교 구매 병원 예약 후 이용 연륜 경험 풍부하다 원장 진료 가격 낮다 의료 퀄리티 높아지다 바가지 요금 걱정 투명하다 수술 프로세스 사전 확인 비교 수술 비 저렴하다 수술 대충 해주다 저가 재료 쓰다 않다 병원 결제 마이 펫 플러스 구매 해주다 때 마이 펫 플러스 사이트 유지 되다 수 있다 김', '발치 수술 하다 구내염 있다 고양이 발치 수술 하다 병원 내부 깔끔하다 위생 괜찮다 보이다 상담 궁금하다 부분 설명 해주다 수술 고양이 입냄새 사라지다 만족스럽다 마펫 저렴하다 가격 자다 하다 앞 하니 동물병원 이용 하다 김', '발치 수술 해주다 감사하다 길냥이 집 되다 우리 꼬마 이빨 염증 구내염 심하다 발치 수술 해주다 장님 의료 진 친절하다 검사 해주다 좋다 고양이 컨디션 좋다 사료 먹다 있다 아프다 해주다 자다 것 같다 감사하다 김', '감사하다 수의사 선생님 친절하다 병원 쾌적하다 좋다 발치 수술 전 마취 하다 수 있다 검사 해주다', '수술 후 아이 통증 때문 아프다 않다 좋다 지인 도 추천 하다 정', '만족하다 사랑 입냄새 심하다 염증 있다 발치 알아보다 가격 저렴하다 집 가깝다 하니 동물병원 하다 아주 좋다 원장 친절하다 상담 해주다 검사 꼼꼼하다 해주다 만족스럽다 정', '발치 수술 구내염 치료 하다 피 나 상태 가다 발치 수술 구내염 레이저 치료 진행 하다 컨디션 좋다 아보 죽 같다 먹다 있다 감사하다']"
17,"['마이 펫 플러스 첫 이용 후기 집 근처 성신여대 인근 다니다', '동물병원 스케일링 비용 부담스럽다 가격 시기 망설이다', '마이 펫 플러스 통해 덜 부담스럽다 가격 첫 스케일링 하다 정말 다행 양심 비용 감사하다', '친절하다 원장 상담 꼼꼼하다 진료 설명 또 택시 고서 다니다 싶다 정도 만족스럽다 병원 규모 작고 대기 하다 수 있다 시설 없다 화려하다 않다 결코 실력 서비스 작다 않다 덕분 늦다 않다 시기 첫 스케일링 안전하다 하다 수 있다', '마취 때 계속 안고 있다 해주다 우리 쪼꼬 조금 더 편하다 마음 진료 받다 것 같다 정말 정말 감사하다 마음 크다 첫 마취 걱정 되어다', '사전 혈액 검사 하다 여유 있다 진행 해주다 감사하다 마취 점점 감겨 눈망울 보고서 마음 아프다 눈물 계속 나다 마취 깨어나다 하다 하다 걱정 있다 눈 감다 때 계속 사랑 표현 해주다 나중 마취 무사하다 자다 깨어나다 힘내다 달라 기도 하다 주책 맞다 크다 수술 아니다 왜 눈물 나다 근처 카페 기다리다 마취 깨어나다 문자 받다 병원 걸음 뛰어가다 말똥 거리 눈망울 깨끗하다 공기 말다 회복 쪼꼬 앞 원장 꼼꼼하다 상담 이어지다 정말 그동안 병원 느끼다 보다 꼼꼼하다 상담 감사하다 마음 들다 진심 동물 사랑 하다 마음 느껴지다 정말 감사하다 마이 펫 플러스 감사 드리다', '병원 원장 정말 감사하다 길 택시 아저씨 서도 저희 쪼꼬 똑 닮다 갈색 푸다 들다 키우다 얘기 하다 병원 추천 해주다 연세 있다 이 사이트 모르다 병원 이름 위치 알다 드리다', '양심 친절하다 병원 번창 하다 바라다 쪼꼬 마취 깨어나다 밥 먹다 물 먹다 자다 회복 중이 정말 감사하다 배', '우리 애기 스켈링 자다 받다 오다 안녕하다 오늘 오전 스켈링 받다 오다 기다 글 읽다 귀찮다 맨 밑줄 읽다 호선 라인 살다 지하철 타고 이동 하다 월곡역 내다 조금 빠르다 걸음 정도 걸리다 병원 아담하다 깔끔하다 원장 간호조무사 정확하다 직책 모르다 죄송하다 분 친절하다 시술 들어가다 전 육안 눈 백내장 끼 있다 안과 전문 진료 추천 해주다 과 귀 살펴보다 주시 청진기 가슴 폐 소리 들다 보다 혈액 채취 능숙하다 애기 자다 달래다 해주다 간', '콩팥 수치 알아듣다 쉬다 설명 해주다 마취 되다 거 보고 나오다 주변 기다리다 병원 도착', '마취 깨다 픽업 오라 문자 쯤 오다 생각 끝나다 애기 치석 제거 아주 깔끔하다 자다 되어다 이빨 튼튼하다 않다 녀석 걱정 하다 치다 염 경미하다 있다 발치 불필요하다 하다 차분하다 알아듣다 쉬다 자다 설명 해주다 구강 청결 제도 넣다 시범 보여주다 과잉 진료 하다 가격 저렴하다 대충 하다 이렇다 인상 전혀 못 받다 심장 사사 충 검사 권유 하다 하다 가격 저렴하다 어차피 하다 하다 검사 거부 감다 들다 않다 받다 않다', '', '', '', '', '', '', '', '원장 인상 좋다 친절하다 꼼꼼하다 인상 받다 저렴하다 괜 걱정 하다 필요 전혀 없다 듯 하다 내년 스켈링 받다 다시 찾다 의사 있다 그때 입점해 있다 바 요', '', '', '', '', '', '', '', '감사하다']"
18,"['요크셔테리어 살 노견 이다 추천 개 박다 후기 사진 첨부 안되다 차다 아쉽다 요크셔테리어 살 여태 이빨 한번 닦다 눈밑 튀어나오다 눈 질환 줄 알다 치아 뿌리 썪 곪아 생기다 치아 뿌리 농양 치 농양 하다 까페 난곡 유명하다 병원 더니 치 농양 구 스켈링 하다 뽑다 되다 같다 하다 더 자기 작다 호흡 마취 안되다 호흡 마취 되다 가라 하다 노견 집 근처 알아보다 발치 호흡 마취 혈액 검사 스켈링하 비용 얼추 마넌 정도 나오다 같다 까페 검색 다가 마이 펫 플러스 잇다 검색 해보다 스켈링 흔들리다 이 발치 난이도 아주 높다 않다 고해 그냥 싸다 곳 마포 마넌 짜다 갈다 하다 노견 호흡 마취 해주다 되다 같다 문의 해보다 발 치비 마넌 받다 신다 하다 여기 찾다 습니 자다 안내 해주다 치료 자다 해주다 감사하다 호흡 마취 스켈링 발치 개 개다 서비스 하다 정말 저렴하다 하다 오다 같다 첫날 밥 먹다 걱정 햇 늘다 이틀 오늘 밥 먹다 한시름 놓다 감사하다 병원 대박 나셧음 좋다 항상 건강하다 건강 최고 양', '만족스럽다 현재 집사 나름 좋다 유명 병원 택시 타고 시간 이상 돌아다니다 이전 범백 복막 염 걸리다 무지개 다리 건너다 아이 있다 하다 진짜 크다 병원 돌아다니다 조금 과장하다 서울 대학병원 외 어지간하다 유명하다 곳 가보다 같다 처음 고양이 스케일링 발치 개 하다 때 들다 고양이 치아 문병원 수의 치아 협회 쪽 회장 하다 이르다 비싸다 있다 지금 생각 하다 왜 겁 먹다 크다 병원 다니다 모르다 친구 쪽 동네 크다 병원 가다 전신 마취 후 검사 하다 문제 생기다 있다 대서 필요없다 검사 하다 하다 사람 치과 그렇다 동물병원 설비 인건비 청구 하다 같다 보호자 겁 주다 필요없다 검사 시키다 좀 해주다 좋다 스케일링 굳이 크다 병원 갈다 되다 여기 하다']"
19,"['만족 이다 이 병원 방문 이다 만족하다 집 제일 가깝다 곳 검색 하다 가다 일단 하나 하나 설명 해주다 좋다 스켈링 들어가다 발치 가능성 미리 말 해주다 좋다 혹시 마취 도중 갑자기 뽑다 되다 말 해주다 멘붕 오다 같다 스켈링 전 기본 검사 관절 및 건강 상태 말 해주다 종특 질병 관 하다 말 해주다 말티즈 심장병 걸리다 대요 스켈링 도중 수술실 불다 치아 하나 하나 직접 보다 흔들리다 정도 체크 해주다 출혈 있다 부분 염증 심하다 설명 해주다 동물병원 가보다 않다 앞 병원 일이 생기 곳 다니다 생각 하다 발치 하다 않다 되어다 넘다 다행 이다 하다 구취 아예 싹 사라지다 처음 해보다 신기하다 불소 포도 보다 앞 직접 해주다 후기 없다 고민 하다 다른 조금 도움 되다 올리다 보다 태', '프리미엄 스케일링 원장 친절하다 설명 꼼꼼하다 자다 해주다 살 살 두 아이 모두 스케일링 자다 받다 오다 집도 가깝다 하다 앞 병원 여기 오다 같다 감사하다 장', '친절하다 후기 없다 걱정 하다 하다 보호자 자다 써다 하다 친절하다 좋다 왜 써주다 걸다 요 저희 아가 스케일링 결과 좋다 병원 맘 들다 고민 하다 말다 가보다 추천 드리다 마이 펫 플러스 안녕하다 마이 펫 플러스 이다 마이 펫 플러스 후기 이벤트 참가 방법', '블로그', '카페', '커뮤니티 등 이용 업체 대한 솔직 후기 작성 마이 펫 플러스 로그인 이용 상품 구매 평 간단하다 후기 해당 남다 익월 이후 당첨 글 내 이름 확인 하다 당첨 주의 사항 등 후기 글 남다 때', '마이 펫 플러스 를 통한 임 꼭 밝히다 것 저희 마이 펫 플러스 동물병원 비용 부담스럽다 제때 치료받다 못 방치 되다 유기 되다 동물 숫자 줄이다 보다 취지 운영 되다 있다 대다수 동물병원 지방 쪽 이 할인 되다 비용 공개 하다 꺼리다', '마이 펫 플러스 입점 자체 거부 있다 마이 펫 플러스 더욱 힘내다 하다 수 있다 보호자 응원 힘 보태 줄다 저희 마이 펫 플러스 위 보호자 응원 필요하다', '마이 펫 플러스 역할 바가지 요금 걱정 동물병원 별 합리 저렴하다 가격 비교 가능 연륜 경험 풍부하다 장님 입점 비용 낮다', '의료 퀄리티 높다 수술 프로세스 투명 공개 전 프로세스 사전 확인 가능 서울시 수의사 협회', '마이 펫 플러스 제휴 병원 탈퇴 협박 공문 관련 기사 동물병원 비용 합리 기준', '유기견 유기묘 예방 기초 만들다 가다 반려동물 전문 소셜 마이 펫 플러스 반려 인과 반려동물 권리 지키다 가다 도', '프리미엄 스케일링 해주다 길고양이 이다 애 입양 해소 치아 상태 안 좋다 해주다 김 프리미엄 가다 하다 프리미엄 구매 하다 가다 스케일링 하다 깨끗하다 좋다 오', '스케일링 후기 입질 있다 아이 양치질 시키다 힘들다 그냥 간식 버티다 나이 들다 그것 별 효과 없다 치석 끼 염증 생기다 스케일링 해주다 꼼꼼하다 자다 보다 감사하다 자기 개운하다 눈 치이다 나', '깨끗해지다 입냄새 안 입냄새 안 나서다 넘다 좋다 양치 하다 법 물어보다 친절하다 알다 시술 꼼꼼하다 해주시 좋다 김', '꼼꼼하다 자다 보다 감사하다 강아지 이빨 문제 많다 프리미엄 구매 하다 찍다 더 정확하다 이해 하다 돼다']"
20,"['세상 살 만하 병원 안좋다 기억 있다 좀 멀다 고심 끝 방문 하다 되다 병원 상품 표현 하다 적절 치 않다 상품 후기 남기다 살 아이 양치 질시 피다 햇 늘다 종합 검짐 받다 나오다 같다 생각 하다 안좋다 결과 맘 아프다 이제 제대로 알다 촉진 슬개골탈구 있다 알다 엑스레이 찍다 심장 문제 확인 해주다 상태 좀 안좋다 수액 스케 링 진행 최대한 살리다 하다 포기 하다 치아 개발 치 마취 정도 풀리다 때 수액 좀더 맞다 끝 약 분 처방 해주 셧구 치약 관 절약 기타 아이 필요하다 성비 제품 병원 강매 아니다 상품 알다 아이 자다 육안 이다 하얗다 가장 궁금하다 추가 요금 없다 후기 보시 보호자 들다 저 랑귀 무지하다 아이 고생 시키다 제대로 잘알다 오래오래 아이 행복하다 이', '친절하다 병원 이사 서다 동물병원 정착 곳 없다 선생님 매우 친절하다 꼼꼼하다 치료 해주다 계속 다니다 예정 치주염 심하다 아이 추가 금액 약도 처방 하다 주시 이도 구석구석 깨끗하다 스켈링 해주다 감사하다 정', '깨끗하다 치아 좀 누 래지 부분 있다 스케일링 하다 양치 더 꼼꼼하다 해주다 생각 스케일링 시키다 주다 하얘지다 제 기분 좋다 별', '살 별 스케일링 자다 하다 오다 제 반려견 보내다 슬프다 있다 차 친하다 동생 키우다 아이 이다 더 정상 키우다 같다 하다 저 갑자기 오다 되다 아이 이다 병원 자다 가다 이빨 관리 전혀 안되다 치석 아주 심하다 예약 하다 검사 마취 깨다 꽤 시간 걸리다 별 치아 아주 깨끗해지다 속이다 후련하다 지다 스케일링 받다 뛰다 자다 놀다 자다 먹다 먹보 밥 시간 지키다 고생 좀 시키다 의사 샘 간호사 샘 모두 친절하다 좋다 감사하다 이', '살 쫑이 수술 하다 오다 노령견 걱정 하다 괜찮다 설명 해주다 받다 오다 마취 살짝 늦다 깨다 것 같다 깨다 나서다 한참 멍하다 저녁 밥 자다 먹다']"
21,"['감사하다 노견 마리 고양이 마리 발치 수술 하다 크리스마스 이브 날다 의사 선생님 간호사 선생님 늦다 수술 해주다 감사하다 죄송하다 간호사 쌤 이쁘다 살 정말 작다 나이 아니다 빠르다 정확하다 수술 해주다 지금 자다 회복하다 이전 더 먹다 자다 짖다 건강하다 자다 살 있다 고양이 자다 회복하다 밥 아주 건강하다 자다 먹다 있다 미용 권유 해주다 미용 하다 정말 신세계 추다 겨울 빡빡 밀다 버리다 냐옹 늘다 미안하다 털 빠지다 삶 달라지다 두 마리 아프다 이빨 뽑다 나니 구취 사라지다 말주변 없다 글 감사하다 마음 담다 하다 정말 감사하다 새해 복 받다 방', '고생 우리 장군 발치 하다 길 있다 아이 구조해 기르다 있다 구조 한지 얼마 안되다 부터 구내염 있다 알 돼다 수술 권하다 병원 있다', '약 하다 낫다 수의사 샘', '수술 해도 재발 가능성 높다 그렇다 개월 가량 스테로이드 약 처방 받다 먹이다', '그때 뿐이다 스테로이드 좋다 임 분명하다', '과용 하다 좋다 않다 같다 약 끊다 양제 그동안 먹이다', '점점 쇠약하다 눈 보이다 그렇다 이 사이트 우연찮 알 되다 발치 상담 하다 돼다 뭔가 다른 수의사 확 연하다 다르다 하다 요 믿음 간 로써 바로 결제 다음 날 예약 하다 방문 하다 상담시 아이 상태 설명 해주다', '수술 후 매일 매일 아이 상태 동영상 받다 보고 퇴원 연락 서다 그때 서다 가다 대부분 수술 중간 중간 아이 상태 보다 찾아가다 전 믿음 가다 그렇다 필요 없다 생각 들다 여 틀다 울 장군 수술 자다 되어다 퇴원 하다 당일 저녁 정말 상상 하다 벌어지다 장군 캔 간식 주니 아구 아구 먹는모습 놀라다 않다 수 없다 오목하다 그릇 주다 먹다 소리 지르다 늘 도망가다 누가 뺏다 먹다 싶다 숨다 쉬다 먹다 정말 감동 스럽다 그동안 일찍 해주다 미안하다 눈물 나오다 지금 수술 한지 주일 돼다 명랑하다 그동안 아프다 만지다 하다 입냄새 풍기 하다 젠 입냄새 알다 도 안 만지다 대다 눈감다 정말 행복하다 집 구내염 올블랙 아가 마리 있다 이번 달말 수술 해주다 예정 다르다 서다 만원 부르다 가격 입원 포함 하다 정말 수의사 봉사 하다 다르다 바 없다 같다', '우리 애 다 난 다음 길 아가 심하다 아이 구내염 발치 해주다 일 있다 중 이다 남편 알 안되다 정말 강추 이다 조만간 저희 장군 발치 전후 동영상 및 사진 정리 하다 블로그 고양이 관련 카페 올리다 꼭 보다 박', '고양이 발치 집고양이 끈 침 흘리다 냄새 나 발치 알아보다 사이트 알 되다 지방 차 타다 수술 햇 수술 전 밥 먹다 아니다 걱정 햇었 늘다 수술 마치다 밥 먹다 놓다 입 냄새 사라지다 병원 영상 일보 내주다 써주다 좋다']"
22,"['입냄새 안 신기 강아지 입냄새 좀 심하다 펴다 사실 커뮤니티 이렇다 것 자다 안 하다 검색 찾다 마이 펫 플러스 발견 하다 가깝다 동물병원 있다 바로 구매 하다 예약 하다 바로 스케일링 하다 습 니당다 저희 강아지 개운하다 같다 무엇 뽀뽀 하다 때 입냄새 안 나 게 좋다 막', '하다 막둥이 몸무게 좀 나가다 스케일링 구매 추가 몸무게 구매 하다 가격 대비 나쁘다 않다 스케일링 상품 기초 검사 혈액 검사 포함 되다 아이 상태 확인 하다 수 있다 좋다']"
23,"['이제 입냄새 안 나다 이 닦다 주다 입냄새 나서다 스케일링 예약 하다 다녀오다 누렁니 이제 하얗다 변하다 원장 간호사 굉장하다 친절하다 기분 좋다 다녀오다 사실 저렴하다 금액 걱정 하다 딱하다 걱정 하다 않다 되다 것 같다 지금 옆 간식 자다 뜯다 먹다 있다 감사하다 이', '고양이 삐지다 하다 좋다 길냥이 구조해 집 기르다', '플라그 잔뜩 끼다 그렇다 잇몸 빨갛다 부다 스케일링 받다 이 아주 하얘지다 원장', '간호사 선생님 모두 친절하다', '바로 앞 버스정류장 있다 선정릉역 추다 가깝다 차 없다 학생 저 좋다 잇몸 염증 때문 피 나다', '소염제 항생제 처방 받다 오다 아프다 말 이', '스케일링 받다 딱하다 뭐 치아 이상 있다 그렇다 아니다 이제 노령견 관리 좀 해주다 하다 같다 원래 다니다 곳 알아보다 생각 가격 비싸다 더 저렴하다 괜찮다 곳 없다 찾다 마이 펫 플러스 알 돼다 저렴하다 가격 검사 혈액 검사 마취 불소 도포 폴리싱 되다 좋다 김', '살 남아 샴고양이 스케일링 살 샴고양이 남다 입 냄새 나다 충치 같다 보 걱정 하다 병원 선택 하다 나이 적지 않다 프리미엄 수액 추가 하다 맞추다 걱정 말다 햇었 늘다 하루 입원 하다 집 데려오다 간식 먹다 사료 먹다 스트레스 않다 받다 돌보다 주다 같다 고양이 스트레스 받다 아이 무척 신경 쓰다 는데 병원 계시다 분 고양이 다루다 만족하다']"
24,"['괜찮다 푸다 들다 키우다 입냄새 심하다 어찌 하다 하다 하다 페북 마펫 제일 저렴하다 구매 인증 번호 받다 예약 잡다 스케일링 받다 지금 피곤하다 계속 자네 저 좋다 다음 이용 하다 김', '깨끗하다 만족 입냄새 사라지다 아이 이도 반짝거리다 정도 하다 깨끗해지다 여 정말 꼼꼼하다 해주다 감사 드리다 친절하다 병원 알 되다 더욱 좋다']"
25,"['후기 유기견 이다 친구 입양 터', '확실하다 치아 관리 안 되어다 스케일링 알아보다 마펫 통해 구매 하다 이용 하다 선생님 친절하다 경험 많다 치아 깨끗해지다 좋다', '이 친구 뭔가 스케일링 전보 먹다 그렇다 편안 해보다 김', '살 좀 넘다 고양이 스케일링 후기 결제 가다 수액 항 상제 사비 추가 결제 되다 우리 집 냥 신장 수치 좀 높다 나오다 수액 맞다 하다', '내복약 복용 불가능하다 주사 대체 하다 추가 가격 나오다 추가 금액 결제 돼다 총 들다 다른 동물병원 싸다 치료 함 스케일링 하다 전 수술 동의 를 써다 거기 내용 수술 중 어떻다 일어나다 책임 묻다 않다 써다 싸인 하다 심장 벌벌 떨리다 마취 하다 수술 역시 위험하다 어쨌든 스케일링 깔끔하다 자다 해주다 냥 제 컨디션 되찾다 상태 임 여기 방문 하다 분 냥 상태 따르다 추가 금액 나오다 모르다 여분 돈 준비 가다 역시 동물 키우다 때 중요하다 돈 제일 중요 여 틀다 노아 동물병원 원장 수의 테크 션 분 친절하다 다른 분 이용 하다 마이 펫 플러스 번창 하다 좋다']"
